ID,Factor,Question Text,Scale,Applicable Population,SF
1,Nicotine Dependence,I find myself reaching for cigarettes without thinking about it.,F,ALL/D/ND,X
2,Nicotine Dependence,I drop everything to go out and buy cigarettes.,F,ALL/D/ND,X
3,Nicotine Dependence,I smoke more before going into a situation where smoking is not allowed.,F,ALL/D/ND,X
4,Nicotine Dependence,"When I haven't been able to smoke for a few hours, the craving gets intolerable.",F,ALL/D/ND,X
5,Nicotine Dependence,"When I'm really craving a cigarette, it feels like I'm in the grip of some unknown force that I cannot control.",F,ALL/D/ND,X
6,Nicotine Dependence,I crave cigarettes at certain times of day.,Q,ALL/D/ND,
7,Nicotine Dependence,My urges to smoke keep getting stronger if I don't smoke.,Q,ALL/D/ND,
8,Nicotine Dependence,"After not smoking for a while, I need to smoke in order to avoid feeling any discomfort.",F,ALL/D/ND,
9,Nicotine Dependence,My desire to smoke seems overpowering.,Q,ALL/D/ND,
10,Nicotine Dependence,Cravings for a cigarette make it difficult for me to quit.,Q,ALL/D/ND,
11,Nicotine Dependence,It is hard to ignore urges to smoke.,Q,ALL/D/ND,
12,Nicotine Dependence,"When I go without a cigarette for a few hours, I experience craving. ",Q,ALL/D/ND,
13,Nicotine Dependence,I frequently crave cigarettes.,Q,ALL/D/ND,
14,Nicotine Dependence,The idea of not having any cigarettes causes me stress.,Q,ALL/D/ND,
15,Nicotine Dependence,"When I run out of cigarettes, I find it almost unbearable.",F,ALL/D/ND,
16,Nicotine Dependence,I get a real gnawing hunger for a cigarette when l haven't smoked in a while.,F,ALL/D/ND,
17,Nicotine Dependence,I smoke even when I am so ill that I am in bed most of the day. ,F,ALL/D/ND,
18,Nicotine Dependence,When I go too long without a cigarette I feel impatient.,F,ALL/D/ND,
19,Nicotine Dependence,It is hard for me to go without smoking for a whole day.,Q,ALL/D/ND,
20,Nicotine Dependence,When I go too long without a cigarette I get strong urges that are hard to get rid of.,F,ALL/D/ND,
21,Nicotine Dependence,Smoking is a large part of my daily life. ,Q,ALL/D/ND,
22,Nicotine Dependence,I am tempted to smoke when I realize I haven't smoked for a while.,F,ALL/D/ND,
23,Nicotine Dependence,I smoke when I am alone.,F,D only,
24,Nicotine Dependence,The thought of never smoking again is overwhelming.,Q,D only,
25,Nicotine Dependence,I am tempted to smoke when I am happy.,F,D only,
26,Nicotine Dependence,I am tempted to smoke when I am driving.,F,D only,
27,Nicotine Dependence,After eating I want a cigarette. ,F,D only,
28,Nicotine Dependence,I become more addicted the more I smoke. ,Q,ND only,
29,Nicotine Dependence,I feel like I smoke all the time.,Q,ND only,
30,Nicotine Dependence,I would go crazy if I couldn't smoke.,Q,ND only,
31,Nicotine Dependence,If I quit smoking I will experience intense cravings for a cigarette.,Q,ND only,
