ID,Scale,Year of Publication,Nickname,Factor,Reverse Coded,Question Text
1,Conformity to Masculine Norms Inventory,2003,CMNI,Emotional Control,,It is best to keep your emotions hidden
2,Conformity to Masculine Norms Inventory,2003,CMNI,Winning,,In general‚ I will do anything to win
3,Conformity to Masculine Norms Inventory,2003,CMNI,Playboy,,If I could‚ I would frequently change sexual partners
4,Conformity to Masculine Norms Inventory,2003,CMNI,Violence,,If there is going to be violence‚ I find a way to avoid it
5,Conformity to Masculine Norms Inventory,2003,CMNI,Disdain for Homosexuals,,It is important to me that people think I am heterosexual
6,Conformity to Masculine Norms Inventory,2003,CMNI,Dominance,,In general‚ I must get my way
7,Conformity to Masculine Norms Inventory,2003,CMNI,Pursuit of Status,,Trying to be important is the greatest waste of time
8,Conformity to Masculine Norms Inventory,2003,CMNI,Primacy of Work,,I am often absorbed in my work
9,Conformity to Masculine Norms Inventory,2003,CMNI,Power Over Women,,I will only be satisfied when women are equal to men
10,Conformity to Masculine Norms Inventory,2003,CMNI,Self-reliance,,I hate asking for help
11,Conformity to Masculine Norms Inventory,2003,CMNI,Risk-taking,,Taking dangerous risks helps me to prove myself
12,Conformity to Masculine Norms Inventory,2003,CMNI,Winning,,In general‚ I do not expend a lot of energy trying to win at things
13,Conformity to Masculine Norms Inventory,2003,CMNI,Playboy,,An emotional bond with a partner is the best part of sex
14,Conformity to Masculine Norms Inventory,2003,CMNI,Emotional Control,,I should take every opportunity to show my feelings
15,Conformity to Masculine Norms Inventory,2003,CMNI,Violence,,I believe that violence is never justified
16,Conformity to Masculine Norms Inventory,2003,CMNI,Disdain for Homosexuals,,Being thought of as gay is not a bad thing
17,Conformity to Masculine Norms Inventory,2003,CMNI,Risk-taking,,In general‚ I do not like risky situations
18,Conformity to Masculine Norms Inventory,2003,CMNI,Dominance,,I should be in ch‎arge
19,Conformity to Masculine Norms Inventory,2003,CMNI,Emotional Control,,Feelings are important to show
20,Conformity to Masculine Norms Inventory,2003,CMNI,Primacy of Work,,I feel miserable when work occupies all my attention
21,Conformity to Masculine Norms Inventory,2003,CMNI,Power Over Women,,I feel best about my relationships with women when we are equals
22,Conformity to Masculine Norms Inventory,2003,CMNI,Winning,,Winning is not my first priority
23,Conformity to Masculine Norms Inventory,2003,CMNI,Disdain for Homosexuals,,I make sure that people think I am heterosexual
24,Conformity to Masculine Norms Inventory,2003,CMNI,Risk-taking,,I enjoy taking risks
25,Conformity to Masculine Norms Inventory,2003,CMNI,Violence,,I am disgusted by any kind of violence
26,Conformity to Masculine Norms Inventory,2003,CMNI,Pursuit of Status,,I would hate to be important
27,Conformity to Masculine Norms Inventory,2003,CMNI,Emotional Control,,I love to explore my feelings with others
28,Conformity to Masculine Norms Inventory,2003,CMNI,Playboy,,If I could‚ I would date a lot of different people
29,Conformity to Masculine Norms Inventory,2003,CMNI,Self-reliance,,I ask for help when I need it
30,Conformity to Masculine Norms Inventory,2003,CMNI,Primacy of Work,,My work is the most important part of my life
31,Conformity to Masculine Norms Inventory,2003,CMNI,Winning,,Winning isn’t everything‚ it’s the only thing
32,Conformity to Masculine Norms Inventory,2003,CMNI,Risk-taking,,I never take chances
33,Conformity to Masculine Norms Inventory,2003,CMNI,Playboy,,I would only have sex if I was in a committed relationship
34,Conformity to Masculine Norms Inventory,2003,CMNI,Violence,,I like fighting
35,Conformity to Masculine Norms Inventory,2003,CMNI,Power Over Women,,I treat women as equals
36,Conformity to Masculine Norms Inventory,2003,CMNI,Emotional Control,,I bring up my feelings when talking to others
37,Conformity to Masculine Norms Inventory,2003,CMNI,Disdain for Homosexuals,,I would be furious if someone thought I was gay
38,Conformity to Masculine Norms Inventory,2003,CMNI,Playboy,,I only get romantically involved with one person
39,Conformity to Masculine Norms Inventory,2003,CMNI,Winning,,I don’t mind losing
40,Conformity to Masculine Norms Inventory,2003,CMNI,Risk-taking,,I take risks
41,Conformity to Masculine Norms Inventory,2003,CMNI,Pursuit of Status,,I never do things to be an important person
42,Conformity to Masculine Norms Inventory,2003,CMNI,Disdain for Homosexuals,,It would not bother me at all if someone thought I was gay
43,Conformity to Masculine Norms Inventory,2003,CMNI,Emotional Control,,I never share my feelings
44,Conformity to Masculine Norms Inventory,2003,CMNI,Violence,,Sometimes violent action is necessary
45,Conformity to Masculine Norms Inventory,2003,CMNI,Self-reliance,,Asking for help is a sign of failure
46,Conformity to Masculine Norms Inventory,2003,CMNI,Power Over Women,,In general‚ I control the women in my life
47,Conformity to Masculine Norms Inventory,2003,CMNI,Playboy,,I would feel good if I had many sexual partners
48,Conformity to Masculine Norms Inventory,2003,CMNI,Winning,,It is important for me to win
49,Conformity to Masculine Norms Inventory,2003,CMNI,Primacy of Work,,I don’t like giving all my attention to work
50,Conformity to Masculine Norms Inventory,2003,CMNI,Pursuit of Status,,I feel uncomfortable when others see me as important
51,Conformity to Masculine Norms Inventory,2003,CMNI,Disdain for Homosexuals,,It would be awful if people thought I was gay
52,Conformity to Masculine Norms Inventory,2003,CMNI,Emotional Control,,I like to talk about my feelings
53,Conformity to Masculine Norms Inventory,2003,CMNI,Self-reliance,,I never ask for help
54,Conformity to Masculine Norms Inventory,2003,CMNI,Winning,,More often than not‚ losing does not bother me
55,Conformity to Masculine Norms Inventory,2003,CMNI,Risk-taking,,It is foolish to take risks
56,Conformity to Masculine Norms Inventory,2003,CMNI,Primacy of Work,,Work is not the most important thing in my life
57,Conformity to Masculine Norms Inventory,2003,CMNI,Power Over Women,,Men and women should respect each other as equals
58,Conformity to Masculine Norms Inventory,2003,CMNI,Playboy,,Long term relationships are better than casual sexual encounters
